scientific_name,order,order_num,family,family_num,genus,genus_num,species,early_interval,late_interval,max_age_mya,min_age_mya,country,state,longitude,latitude,latlng_basis,latlng_precision,formation,stratigraphy_scale,lithology,environment,assembly_composition,preservation_mode,collection_name,collection_type,life_habit,vision,diet,time_period,preservation_mode_count,presevation_mode_count_scaled,order_num_scaled,diet_scaled,country_scaled
Megistaspis (Megistaspidella) acuticauda,Asaphida,19834,Asaphidae,82596,Megistaspis (Megistaspidella),20055,acuticauda,Volkhov,,471.3,469.1,RU,,32.566666,59.966667,estimated from map,minutes,Volkhov,bed,limestone,open shallow subtidal,mesofossils,body,Lynna River section L25J,biostratigraphic,low-level epifaunal,well-developed,carnivore,Ordovician,1,-0.03391346657626163,-0.37339232350417834,0,35
Sphaerocoryphe longispina,Phacopida,21421,Cheiruridae,85334,Sphaerocoryphe,21780,longispina,Ashbyan,,457.3,449.6,US,Virginia,-78.358612,38.990555,based on nearby landmark,seconds,Edinburg,bed,limestone,carbonate indet.,macrofossils,"body,replaced with silica","Loc. 2. edge of quarry, just north of RR tracks ¼ mile west of Strasburg Junction",taxonomic,low-level epifaunal,well-developed,carnivore,Ordovician,2,1.2126854649529348,-0.3591643827666484,0,42
Isotelus harrisi,Asaphida,19834,Asaphidae,82596,Isotelus,20000,harrisi,Chazyan,,471.3,457.3,US,New York,-73.45472,44.941113,based on nearby landmark,seconds,Day Point,formation,limestone,marine indet.,"macrofossils,mesofossils",body,"E8. Chazy village, Day Point Fm",taxonomic,low-level epifaunal,well-developed,carnivore,Ordovician,1,-0.03391346657626163,-0.37339232350417834,0,42
Leonaspis haddanei,Odontopleurida,19772,Odontopleuridae,56895,Leonaspis,19814,haddanei,Eifelian,,393.47,387.95,EU,,-6.705556,29.751389,stated in text,seconds,Timrhanrhart,,not reported,marine indet.,"macrofossils,mesofossils","body,cast",near Zguilma (NZ),taxonomic,low-level epifaunal,well-developed,carnivore,Devonian,2,1.2126854649529348,-0.37394817248069184,0,13
Hemisphaerocoryphe sphaericus,Phacopida,21421,Cheiruridae,85334,Hemisphaerocoryphe,21599,sphaericus,Uhaku,Kukruse,459.7,456.8,EU,Asker,10.508333,59.827499,estimated from map,seconds,Vollen & Elnes,formation,shale,marine indet.,"macrofossils,mesofossils",body,"Bjerkøy, Transitional beds",taxonomic,low-level epifaunal,well-developed,carnivore,Ordovician,1,-0.03391346657626163,-0.3591643827666484,0,13
Petigurus nero,Proetida,21062,Bathyuridae,124260,Petigurus,21303,nero,Cassinian,,483.4,471.3,CA,Newfoundland,-57.245834,50.730831,estimated from map,seconds,Catoche,,limestone,shallow subtidal indet.,"macrofossils,mesofossils",body,"Bustard Cove, Strigigenalis caudata Lineage Zone",taxonomic,low-level epifaunal,well-developed,detritivore,Ordovician,1,-0.03391346657626163,-0.3623829276467828,1,9
Asaphellus clarksoni,Asaphida,19834,Asaphidae,82596,Asaphellus,19861,clarksoni,Tremadocian,,486.85,477.1,AR,Salta,-65.173332,-22.659166,estimated from map,seconds,Santa Rosita,bed,mudstone,offshore,"macrofossils,mesofossils",body,"Rodeo Colorado, 80 m",taxonomic,low-level epifaunal,well-developed,carnivore,Ordovician,1,-0.03391346657626163,-0.37339232350417834,0,3
Symphysurina bulbosa,Asaphida,19834,Nileidae,124263,Symphysurina,20201,bulbosa,Skullrockian,,488.9,483.4,US,Texas,-99.269447,31.003611,estimated from map,seconds,Wilberns,bed,limestone,carbonate indet.,macrofossils,body,SS-485. San Saba Section,biostratigraphic,low-level epifaunal,well-developed,carnivore,Ordovician,1,-0.03391346657626163,-0.37339232350417834,0,42
Metabowmania morgani,Proetida,21062,Hystricuridae,133751,Metabowmania,20715,morgani,Stairsian,,483.4,481.7,US,Idaho,-111.635277,42.111942,estimated from map,seconds,Garden City,,lime mudstone,shallow subtidal indet.,"macrofossils,mesofossils","body,replaced with silica","HC6 134T, Hillyard's Canyon",biostratigraphic,low-level epifaunal,well-developed,detritivore,Ordovician,2,1.2126854649529348,-0.3623829276467828,1,42
Fallotaspis plana,Redlichiida,19346,Fallotaspididae,152762,Fallotaspis,19129,plana,Atdabanian,,521.0,516.0,EU,,-9.466667,29.616667,estimated from map,minutes,Amouslek,bed,shale,marine indet.,macrofossils,"body,cast",CH-23. Asrir section,taxonomic,low-level epifaunal,well-developed,detritivore,Cambrian,2,1.2126854649529348,-0.3777673928677036,1,13
Eudolatites angelini,Phacopida,21421,Dalmanitidae,85376,Eudolatites,21569,angelini,Bohdalec,,459.3,445.2,EU,,14.0,50.0,,degrees,Bohdalec,formation,shale,offshore,"macrofossils,mesofossils","body,cast,mold/impression","Bohdelac Formation, Prague Basin",biostratigraphic,low-level epifaunal,well-developed,carnivore,Ordovician,3,2.4592843964821314,-0.3591643827666484,0,13
Mucronaspis (Songxites) mucronatus,Phacopida,21421,Dalmanitidae,85376,Mucronaspis (Songxites),21653,mucronata,Kosovian,,445.2,443.1,EU,,14.0,50.0,,degrees,Kosov,formation,claystone,transition zone/lower shoreface,,,"Kosov Fm, midshelf setting, Prague Basin, Czech Republic",biostratigraphic,low-level epifaunal,blind,carnivore,Ordovician,0,-1.280512398105458,-0.3591643827666484,0,13
Volocephalina connexa,Ptychopariida,20239,Ptychopariidae,80681,Volocephalina,21034,connexa,Solvan,,508.2,504.5,US,Nevada,-114.606941,37.898335,,seconds,Pioche Shale,bed,packstone,,,,"Collection 41148, Grassy Spring Mb., Pioche Shale, NV - Eddy and McCollum 1998",taxonomic,low-level epifaunal,well-developed,carnivore,Cambrian,0,-1.280512398105458,-0.3697613745446953,0,42
Parabellefontia concinna,Asaphida,19834,Asaphidae,82596,Parabellefontia,20109,concinna,Tremadoc,,486.4,477.1,CA,Alberta,-118.083336,52.883331,based on nearby landmark,minutes,Survey Peak,group of beds,shale,transition zone/lower shoreface,,body,"GSC locality 92236, Survey Peak Fm., Biozone B, Alberta Canada - Dean 1989",taxonomic,low-level epifaunal,well-developed,carnivore,Ordovician,1,-0.03391346657626163,-0.37339232350417834,0,9
Thelecalymene mammillata,Phacopida,21421,Calymenidae,85380,Thelecalymene,316492,mamillate,Edenian,Maysvillian,451.0,449.6,US,Minnesota,-93.26667,44.983334,based on political unit,minutes,Scales Shale,group of beds,shale,carbonate indet.,macrofossils,body,"Sardeson Collection, Maquoketa Formation, Elgin Member",biostratigraphic,nektobenthic,well-developed,carnivore,Ordovician,1,-0.03391346657626163,-0.3591643827666484,0,42
Thaleops laurentiana,Corynexochida,19472,Illaenidae,124262,Thaleops,19700,americanus,Chatfieldian,,453.8,451.0,CA,Ontario,-78.783333,44.433334,estimated from map,minutes,Verulam,member,limestone,deep subtidal indet.,macrofossils,body,"Zion South (S7) section, lot 10, Lake Simcoe area",biostratigraphic,nektobenthic,,carnivore,Ordovician,1,-0.03391346657626163,-0.37663776430253115,0,9
Eowinterbergia funirepa,Proetida,21062,Phillipsiidae,85866,Eowinterbergia,431749,funirepa,Late Famennian,,365.2,358.86,EU,,13.0,47.0,estimated from map,degrees,Pal Grande,bed,limestone,marine indet.,macrofossils,body,"Gruene Schneid Bed 6 (praesulcata Zone) (6a,6b1,6b2,6c)",biostratigraphic,low-level epifaunal,well-developed,detritivore,Devonian,1,-0.03391346657626163,-0.3623829276467828,1,13
Listroa toxoura,Olenida,392207,Aphelaspidae,133754,Listroa,20031,toxoura,Dresbachian,,497.0,486.85,CA,Yukon,-128.383331,62.700001,stated in text,minutes,Rabbitkettle,group of beds,siltstone,offshore,,"body,replaced with silica,replaced with phosphate",Section N - collection N-125.5,taxonomic,low-level epifaunal,well-developed,carnivore,,3,2.4592843964821314,2.9650455947417167,0,9
Tonopahella goldfieldensis,Ptychopariida,20239,Ptychopariidae,80681,Tonopahella,95220,goldfieldensis,Delamaran,,509.7,505.3,US,Nevada,-117.25,37.633331,based on nearby landmark,minutes,Emigrant,group of beds,shale,offshore shelf,macrofossils,body,"USNM 41995, Goldfield Hills",taxonomic,low-level epifaunal,well-developed,carnivore,Cambrian,1,-0.03391346657626163,-0.3697613745446953,0,42
Lonchodomas rostratus,Trinucleida,198568,Raphiophoridae,124265,Lonchodomas,20035,rostratus,Caradoc,,458.2,449.5,EU,Vastergotland,12.0,58.0,estimated from map,degrees,Dalby,group of beds,mudstone,deep subtidal shelf,"macrofossils,mesofossils,microfossils","body,trace",Dalby  Formation. Bed 83.07-84.60,biostratigraphic,low-level epifaunal,blind,detritivore,Ordovician,2,1.2126854649529348,1.2290126921112443,1,13
Xystocrania perforator,Phacopida,21421,Cheiruridae,85334,Xystocrania,21820,perforator,Whiterockian,,471.3,457.3,CA,Northwest Territories,-125.783333,61.200001,stated in text,minutes,Sunblood,,limestone,shallow subtidal indet.,"macrofossils,microfossils","body,replaced with silica","Southwestern District of Mackenzie, Caribou Range (S-80)",biostratigraphic,low-level epifaunal,,carnivore,Ordovician,2,1.2126854649529348,-0.3591643827666484,0,9
Aulacoparia (Aulacoparina) quadrata,Asaphida,19834,Asaphidae,82596,Aulacoparia (Aulacoparina),19868,quadrata,Tulean,,481.7,475.3,US,Utah,-113.360001,38.919998,estimated from map,2,Fillmore Limestone,bed,siltstone,open shallow subtidal,macrofossils,"body,replaced with silica",D-2,biostratigraphic,low-level epifaunal,well-developed,carnivore,Ordovician,2,1.2126854649529348,-0.37339232350417834,0,42
Punka akoura,Proetida,21062,Bathyuridae,124260,Punka,155808,akoura,Jeffersonian,,486.85,471.3,US,Oklahoma,-97.143333,34.372223,estimated from map,seconds,Kindblade,bed,lime mudstone,"reef, buildup or bioherm",macrofossils,body,I-476,biostratigraphic,low-level epifaunal,well-developed,detritivore,Ordovician,1,-0.03391346657626163,-0.3623829276467828,1,42
Nieszkowskia jakei,Phacopida,21421,Cheiruridae,85334,Nieszkowskia,21659,jakei,Costonian,,458.2,457.2,AR,San Juan,-68.803886,-30.327778,based on nearby landmark,seconds,Las Aguaditas,bed,marl,deep subtidal shelf,macrofossils,body,"LA 3, Las Aguaditas North Section, southwest of San José da Jáchal",taxonomic,low-level epifaunal,well-developed,carnivore,Ordovician,1,-0.03391346657626163,-0.3591643827666484,0,3
Triarthrus jachalensis,Olenida,392207,Olenidae,82598,Triarthrus,21015,jachalensis,Sandbian,,458.2,452.8,AR,San Juan,-68.583336,-30.183332,stated in text,minutes,Los Azules,bed,shale,basinal (siliciclastic),macrofossils,body,"Amarilla Creek, Cerro Viejo",taxonomic,low-level epifaunal,well-developed,carnivore,Ordovician,1,-0.03391346657626163,2.9650455947417167,0,3
Palaeadotes hunanensis,Lichida,19721,Damesellidae,155009,Palaeadotes,114938,hunanensis,Guzhangian,,500.5,497.0,CN,Hunan,109.971664,28.719168,based on nearby landmark,seconds,Huaqiao,bed,packstone,slope,macrofossils,body,"Wangcun section, 227m",taxonomic,low-level epifaunal,well-developed,carnivore,Cambrian,1,-0.03391346657626163,-0.3744054030904045,0,10
Proceratopyge fuyangensis,Asaphida,19834,Ceratopygidae,82589,Proceratopyge,20136,fuyangensis,Guzhangian,,500.5,497.0,CN,Hunan,110.916664,29.1,based on nearby landmark,minutes,Huaqiao,bed,limestone,slope,macrofossils,"cast,mold/impression","Wa'ergang, unit 21, NWF21",taxonomic,low-level epifaunal,well-developed,carnivore,Cambrian,0,-1.280512398105458,-0.37339232350417834,0,10
Acrocephalella granulosa,Ptychopariida,20239,Acrocephalitidae,154913,Acrocephalella,20247,granulosa,Nganasanian,,497.0,495.0,RU,Krasnoyar,88.816666,68.0,based on nearby landmark,minutes,Kulyumbe,group of beds,limestone,carbonate indet.,macrofossils,"cast,mold/impression","Kulyumbe River, unit 12",taxonomic,low-level epifaunal,,carnivore,Cambrian,0,-1.280512398105458,-0.3697613745446953,0,35
Olenellus howelli,Redlichiida,19346,Olenellidae,90394,Olenellus,19149,howelli,Dyeran,,515.3,509.7,US,California,-117.066666,36.75,estimated from map,minutes,Carrara,member,lime mudstone,shallow subtidal indet.,"macrofossils,mesofossils,microfossils",body,Grapevine Mountains (USGS 4145-CO),taxonomic,low-level epifaunal,well-developed,detritivore,Cambrian,1,-0.03391346657626163,-0.3777673928677036,1,42
Asaphus (Asaphus) lepidurus,Asaphida,19834,Asaphidae,82596,Asaphus (Asaphus),19864,lepidurus,Volkhov,,471.3,469.1,RU,,32.566666,59.966667,estimated from map,minutes,Volkhov,bed,limestone,open shallow subtidal,mesofossils,body,Lynna River section L25K,biostratigraphic,low-level epifaunal,well-developed,carnivore,Ordovician,1,-0.03391346657626163,-0.37339232350417834,0,35
Sphaerocoryphe gemina,Phacopida,21421,Cheiruridae,85334,Sphaerocoryphe,21780,gemina,Blackriveran,,457.3,449.6,US,Virginia,-78.367775,38.983334,based on nearby landmark,minutes,Edinburg,bed,limestone,carbonate indet.,macrofossils,"body,replaced with silica","Loc. 4. Field northeast of VA-639, ¼ from junction with US-11, 0.7 mile southwest Strasburg",taxonomic,low-level epifaunal,well-developed,carnivore,Ordovician,2,1.2126854649529348,-0.3591643827666484,0,42
Stenopareia globosus,Corynexochida,19472,Illaenidae,124262,Stenopareia,19691,globosus,Chazyan,,471.3,457.3,US,New York,-73.45472,44.941113,based on nearby landmark,seconds,Day Point,formation,limestone,marine indet.,"macrofossils,mesofossils",body,"E8. Chazy village, Day Point Fm",taxonomic,nektobenthic,well-developed,carnivore,Ordovician,1,-0.03391346657626163,-0.37663776430253115,0,42
Barrandeops lebesus,Phacopida,21421,Phacopidae,56891,Morocops,431365,lebesus,Eifelian,,393.47,387.95,EU,,-6.705556,29.751389,stated in text,seconds,Timrhanrhart,,not reported,marine indet.,"macrofossils,mesofossils","body,cast",near Zguilma (NZ),taxonomic,low-level epifaunal,well-developed,carnivore,Devonian,2,1.2126854649529348,-0.3591643827666484,0,13
Hemisphaerocoryphe sphaericus,Phacopida,21421,Cheiruridae,85334,Hemisphaerocoryphe,21599,sphaericus,Uhaku,Kukruse,459.7,456.8,EU,Oslo Asker,10.557778,59.866943,estimated from map,seconds,Vollen & Elnes,,limestone,marine indet.,"macrofossils,mesofossils",body,"Ostøya, Transitional beds",taxonomic,low-level epifaunal,well-developed,carnivore,Ordovician,1,-0.03391346657626163,-0.3591643827666484,0,13
Catochia ornata,Proetida,21062,Bathyuridae,124260,Catochia,175703,ornata,Cassinian,,483.4,471.3,CA,Newfoundland,-57.245834,50.730831,estimated from map,seconds,Catoche,,limestone,shallow subtidal indet.,"macrofossils,mesofossils",body,"Bustard Cove, Strigigenalis caudata Lineage Zone",taxonomic,low-level epifaunal,well-developed,detritivore,Ordovician,1,-0.03391346657626163,-0.3623829276467828,1,9
Pseudokainella keideli,Asaphida,19834,Remopleurididae,103546,Pseudokainella,20152,keideli,Tremadocian,,486.85,477.1,AR,Salta,-65.173332,-22.659166,estimated from map,seconds,Santa Rosita,bed,mudstone,offshore,"macrofossils,mesofossils",body,"Rodeo Colorado, 80 m",taxonomic,nektobenthic,well-developed,carnivore,Ordovician,1,-0.03391346657626163,-0.37339232350417834,0,3
Bayfieldia simata,Asaphida,19834,Eurekiidae,133143,Bayfieldia,20332,simata,Trempealeauan,,490.2,486.85,US,Texas,-99.410004,30.934999,estimated from map,seconds,Wilberns,bed,limestone,carbonate indet.,macrofossils,body,CC-27. On the Blockhouse Ranch,taxonomic,low-level epifaunal,well-developed,carnivore,Cambrian,1,-0.03391346657626163,-0.37339232350417834,0,42
Flectihystricurus acumennasus,Proetida,21062,Hystricuridae,133751,Flectihystricurus,179576,acumennasus,Stairsian,,483.4,481.7,US,Idaho,-111.635277,42.111942,estimated from map,seconds,Garden City,,rudstone,shallow subtidal indet.,"macrofossils,mesofossils","body,replaced with silica","HC6 135T, Hillyard's Canyon",biostratigraphic,low-level epifaunal,well-developed,detritivore,Ordovician,2,1.2126854649529348,-0.3623829276467828,1,42
Fallotaspis bondoni,Redlichiida,19346,Fallotaspididae,152762,Fallotaspis,19129,bondoni,Atdabanian,,521.0,516.0,EU,,-9.466667,29.616667,estimated from map,minutes,Amouslek,bed,shale,marine indet.,macrofossils,"body,cast",CH-23. Asrir section,taxonomic,low-level epifaunal,well-developed,detritivore,Cambrian,2,1.2126854649529348,-0.3777673928677036,1,13
Amphitryon murchisonii,Asaphida,19834,Remopleurididae,103546,Amphitryon,19839,radians,Kralodvorian,Rawtheyan,450.1,445.2,EU,,14.0,50.0,,degrees,Kraluv Dvur,formation,shale,offshore,"macrofossils,mesofossils","body,cast,mold/impression","Kraluv Dvur, Prague Basin",biostratigraphic,nektobenthic,well-developed,carnivore,Ordovician,3,2.4592843964821314,-0.37339232350417834,0,13
Ceraurinus icarus,Phacopida,21421,Cheiruridae,85334,Ceraurinus,21487,icarus,Richmondian,,449.6,445.5,US,Ohio,-84.0,39.0,,degrees,Arnheim,formation,packstone,carbonate indet.,"macrofossils,mesofossils","body,original calcite,replaced with phosphate",Arnheim - type Cincinnatian,biostratigraphic,low-level epifaunal,well-developed,carnivore,Ordovician,3,2.4592843964821314,-0.3591643827666484,0,42
Albertella highlandensis,Corynexochida,19472,Zacanthoididae,95208,Albertella,19475,highlandensis,Solvan,,508.2,504.5,US,Nevada,-114.606941,37.898335,,seconds,Pioche Shale,bed,packstone,marine indet.,,,"Collection 41149, Grassy Spring Mb., Pioche Shale, NV - Eddy and McCollum 1998",taxonomic,nektobenthic,well-developed,carnivore,Cambrian,0,-1.280512398105458,-0.37663776430253115,0,42
Clelandia albertensis,Ptychopariida,20239,Kingstoniidae,133733,Clelandia,20415,albertensis,Tremadoc,,486.4,477.1,CA,Alberta,-118.083336,52.883331,based on nearby landmark,minutes,Survey Peak,group of beds,shale,transition zone/lower shoreface,,body,"GSC locality 92234, Survey Peak Fm., Biozone B, Alberta Canada - Dean 1989",taxonomic,low-level epifaunal,well-developed,carnivore,Ordovician,1,-0.03391346657626163,-0.3697613745446953,0,9
Flexicalymene (Flexicalymene) senaria,Phacopida,21421,Calymenidae,85380,Flexicalymene (Flexicalymene),21574,senaria,Maysvillian,,450.2,449.6,US,Minnesota,-93.26667,44.983334,based on political unit,minutes,Scales Shale,member,limestone,carbonate indet.,macrofossils,body,"Sardeson Collection, Maquoketa Formation, Clermont Member",biostratigraphic,nektobenthic,well-developed,carnivore,Ordovician,1,-0.03391346657626163,-0.3591643827666484,0,42
Isotelus maximus,Asaphida,19834,Asaphidae,82596,Isotelus,20000,maximus,Chatfieldian,,453.8,451.0,CA,Ontario,-78.783333,44.433334,estimated from map,minutes,Verulam,member,limestone,deep subtidal indet.,macrofossils,body,"Zion South (S7) section, lot 10, Lake Simcoe area",biostratigraphic,low-level epifaunal,well-developed,carnivore,Ordovician,1,-0.03391346657626163,-0.37339232350417834,0,9
Guilinaspis crestaverdensis,Proetida,21062,Phillipsiidae,85866,Liobolina (Guilinaspis),21238,crestaverdensis,Hastarian,,358.86,353.7,EU,,13.0,47.0,estimated from map,degrees,Pal Grande,bed,limestone,marine indet.,macrofossils,body,Gruene Schneid Bed 6d,biostratigraphic,low-level epifaunal,well-developed,detritivore,Carboniferous,1,-0.03391346657626163,-0.3623829276467828,1,13
Cheilocephalus brevilobus,Corynexochida,19472,Cheilocephalidae,133756,Cheilocephalus,19520,brevilobus,Dresbachian,,497.0,486.85,CA,Yukon,-128.383331,62.700001,stated in text,minutes,Rabbitkettle,group of beds,siltstone,offshore,,"body,replaced with silica,replaced with phosphate",Section N - collection N-125.5,taxonomic,nektobenthic,well-developed,carnivore,,3,2.4592843964821314,-0.37663776430253115,0,9
Tonopahella goldfieldensis,Ptychopariida,20239,Ptychopariidae,80681,Tonopahella,95220,goldfieldensis,Delamaran,,509.7,505.3,US,Nevada,-117.25,37.633331,based on nearby landmark,minutes,Emigrant,group of beds,shale,offshore shelf,macrofossils,body,"USNM 41996, Goldfield Hills",taxonomic,low-level epifaunal,well-developed,carnivore,Cambrian,1,-0.03391346657626163,-0.3697613745446953,0,42
Nileus armadillo,Asaphida,19834,Nileidae,124263,Nileus,20075,armadillo,Caradoc,,458.2,449.5,EU,Vastergotland,12.0,58.0,estimated from map,degrees,Dalby,group of beds,mudstone,deep subtidal shelf,"macrofossils,mesofossils,microfossils","body,trace",Dalby  Formation. Bed 83.07-84.60,biostratigraphic,low-level epifaunal,well-developed,carnivore,Ordovician,2,1.2126854649529348,-0.37339232350417834,0,13
Psephosthenaspis ellipsepyga,Proetida,21062,Bathyuridae,124260,Psephosthenaspis,21332,ellipsepyga,Whiterockian,,471.3,457.3,CA,Northwest Territories,-125.783333,61.200001,stated in text,minutes,Sunblood,,limestone,shallow subtidal indet.,"macrofossils,microfossils","body,replaced with silica","Southwestern District of Mackenzie, Caribou Range (S-80)",biostratigraphic,low-level epifaunal,well-developed,detritivore,Ordovician,2,1.2126854649529348,-0.3623829276467828,1,9
Hintzeia firmimarginis,Phacopida,21421,Pliomeridae,124266,Hintzeia,21601,firmimarginis,Tulean,,481.7,475.3,US,Utah,-113.360001,38.919998,estimated from map,2,Fillmore Limestone,bed,siltstone,open shallow subtidal,macrofossils,"body,replaced with silica",D-2,biostratigraphic,low-level epifaunal,well-developed,carnivore,Ordovician,2,1.2126854649529348,-0.3591643827666484,0,42
Strigigenalis derbyi,Proetida,21062,Bathyuridae,124260,Strigigenalis,21377,derbyi,Jeffersonian,,486.85,471.3,US,Oklahoma,-97.143333,34.372223,estimated from map,seconds,Kindblade,bed,lime mudstone,"reef, buildup or bioherm",macrofossils,body,I-476,biostratigraphic,low-level epifaunal,well-developed,detritivore,Ordovician,1,-0.03391346657626163,-0.3623829276467828,1,42
Nieszkowskia jakei,Phacopida,21421,Cheiruridae,85334,Nieszkowskia,21659,jakei,Costonian,,458.2,457.2,AR,San Juan,-68.803886,-30.327778,based on nearby landmark,seconds,Las Aguaditas,bed,marl,deep subtidal shelf,macrofossils,body,"LA 4, Las Aguaditas North Section, ~5.5 km west and ~9.5 km south of San José da Jáchal",taxonomic,low-level epifaunal,well-developed,carnivore,Ordovician,1,-0.03391346657626163,-0.3591643827666484,0,3
Kingaspis (Kingaspis) campbelli,Redlichiida,19346,Ellipsocephalidae,133761,Kingaspis (Kingaspis),20617,campbelli,Early Cambrian,,538.8,506.5,EU,Aragon,-1.483333,41.166668,based on nearby landmark,minutes,Valdemiedes,group of beds,shale,offshore,macrofossils,mold/impression,"Rambla de Valdemiedes 1, beds 1b-9, Murero",taxonomic,low-level epifaunal,well-developed,detritivore,,0,-1.280512398105458,-0.3777673928677036,1,13
Paracoosia huayuanensis,Asaphida,19834,Anomocaridae,95299,Paracoosia,20112,huayuanensis,Guzhangian,,500.5,497.0,CN,Hunan,109.971664,28.719168,based on nearby landmark,seconds,Huaqiao,bed,packstone,slope,macrofossils,body,"Wangcun section, 227m",taxonomic,low-level epifaunal,well-developed,carnivore,Cambrian,1,-0.03391346657626163,-0.37339232350417834,0,10
Proceratopyge conifrons,Asaphida,19834,Ceratopygidae,82589,Proceratopyge,20136,conifrons,Guzhangian,,500.5,497.0,CN,Hunan,110.916664,29.1,based on nearby landmark,minutes,Huaqiao,bed,limestone,slope,macrofossils,"cast,mold/impression","Wa'ergang, unit 22, NWF22",taxonomic,low-level epifaunal,well-developed,carnivore,Cambrian,0,-1.280512398105458,-0.37339232350417834,0,10
Koldiniella convexa,Ptychopariida,20239,Plethopeltidae,155002,Koldiniella,21935,convexa,Nganasanian,,497.0,495.0,RU,Krasnoyar,88.816666,68.0,based on nearby landmark,minutes,Kulyumbe,group of beds,limestone,carbonate indet.,macrofossils,"cast,mold/impression","Kulyumbe River, unit 12",taxonomic,low-level epifaunal,well-developed,carnivore,Cambrian,0,-1.280512398105458,-0.3697613745446953,0,35
Olenellus gilberti,Redlichiida,19346,Olenellidae,90394,Olenellus,19149,gilberti,Dyeran,,515.3,509.7,US,California,-117.066666,36.75,estimated from map,minutes,Carrara,member,shale,coastal indet.,"macrofossils,mesofossils,microfossils",body,Grapevine Mountains (USGS 3698-CO),taxonomic,low-level epifaunal,well-developed,detritivore,Cambrian,1,-0.03391346657626163,-0.3777673928677036,1,42
Megistaspis (Megistaspidella) acuticauda,Asaphida,19834,Asaphidae,82596,Megistaspis (Megistaspidella),20055,acuticauda,Volkhov,,471.3,469.1,RU,,32.566666,59.966667,estimated from map,minutes,Volkhov,bed,limestone,open shallow subtidal,mesofossils,body,Lynna River section L25K,biostratigraphic,low-level epifaunal,well-developed,carnivore,Ordovician,1,-0.03391346657626163,-0.37339232350417834,0,35
Sphaerocoryphe longispina,Phacopida,21421,Cheiruridae,85334,Sphaerocoryphe,21780,longispina,Blackriveran,,457.3,449.6,US,Virginia,-78.367775,38.983334,based on nearby landmark,minutes,Edinburg,bed,limestone,carbonate indet.,macrofossils,"body,replaced with silica","Loc. 4. Field northeast of VA-639, ¼ from junction with US-11, 0.7 mile southwest Strasburg",taxonomic,low-level epifaunal,well-developed,carnivore,Ordovician,2,1.2126854649529348,-0.3591643827666484,0,42
Stenopareia globosus,Corynexochida,19472,Illaenidae,124262,Stenopareia,19691,globosus,Chazyan,,471.3,457.3,US,New York,-73.45472,44.869446,based on nearby landmark,seconds,Crown Point,formation,limestone,marine indet.,"macrofossils,mesofossils",body,"West side of road 348, 1.85 miles SW of Chazy village, NY, Crown Point Fm",taxonomic,nektobenthic,well-developed,carnivore,Ordovician,1,-0.03391346657626163,-0.37663776430253115,0,42
Austerops smoothops,Phacopida,21421,Phacopidae,56891,Austerops,358932,smoothops,Eifelian,,393.47,387.95,EU,,-6.705556,29.751389,stated in text,seconds,Timrhanrhart,,not reported,marine indet.,"macrofossils,mesofossils","body,cast",near Zguilma (NZ),taxonomic,low-level epifaunal,well-developed,carnivore,Devonian,2,1.2126854649529348,-0.3591643827666484,0,13
Atractocybeloides gracilis,Phacopida,21421,Encrinuridae,97159,Atractocybeloides,369734,gracilis,Oandu,,452.8,451.8,EU,Oslo Asker,10.557778,59.866943,estimated from map,seconds,Solvang,,limestone,marine indet.,"macrofossils,mesofossils",body,"Ostøya, Skogerholmen",taxonomic,low-level epifaunal,,carnivore,Ordovician,1,-0.03391346657626163,-0.3591643827666484,0,13
Benthamaspis conica,Proetida,21062,Bathyuridae,124260,Benthamaspis,21093,conica,Cassinian,,483.4,471.3,CA,Newfoundland,-57.245834,50.730831,estimated from map,seconds,Catoche,,limestone,shallow subtidal indet.,"macrofossils,mesofossils",body,"Bustard Cove, Strigigenalis caudata Lineage Zone",taxonomic,low-level epifaunal,well-developed,detritivore,Ordovician,1,-0.03391346657626163,-0.3623829276467828,1,9
Kainella teiichii,Asaphida,19834,Remopleurididae,103546,Kainella,20003,teiichii,Tremadocian,,486.85,477.1,AR,Salta,-65.173332,-22.659166,estimated from map,seconds,Santa Rosita,bed,mudstone,offshore,"macrofossils,mesofossils",body,"Rodeo Colorado, 85 m",taxonomic,nektobenthic,well-developed,carnivore,Ordovician,1,-0.03391346657626163,-0.37339232350417834,0,3
Euptychaspis jugalis,Asaphida,19834,Ptychaspididae,82443,Euptychaspis,19958,jugalis,Trempealeauan,,490.2,486.85,US,Texas,-99.410004,30.934999,estimated from map,seconds,Wilberns,bed,limestone,carbonate indet.,macrofossils,body,CC-27. On the Blockhouse Ranch,taxonomic,low-level epifaunal,well-developed,carnivore,Cambrian,1,-0.03391346657626163,-0.37339232350417834,0,42
Goniophrys prima,Proetida,21062,Telephinidae,124259,Goniophrys,21187,prima,Stairsian,,483.4,481.7,US,Idaho,-111.635277,42.111942,estimated from map,seconds,Garden City,,rudstone,shallow subtidal indet.,"macrofossils,mesofossils","body,replaced with silica","HC6 135T, Hillyard's Canyon",biostratigraphic,nektonic,well-developed,carnivore,Ordovician,2,1.2126854649529348,-0.3623829276467828,0,42
